Autorius,Pavadinimas,Metai,Kodas
Jeff Kinney,Nevykėlio dienoraštis 19. Išaiškėjęs melas,2025,9786094833847
,Rankdarbių iš popieriaus enciklopedija,,
,Burtai. Papročiai. Horoskopai,,
Jeff Kinney,Nevykėlio dienoraštis 18. Netikėtos permainos,2024,
Rasa Dmuchovskienė,Skruzdėliukas Nežiniukas  2 knyga,,
Kate DiCamillo,Jei ne Vinis Diksis,2004,
"Marianagela Accovis, Frederico Taddia",Draugių būryje,2002,
Mary Shelley,Frankenšteinas,2021,
Viktorija Lederman,Majų kalendorius,2019,
Kimberly Brubaker Bradley,"Karas, išgelbėjęs mano gyvenimą",2018,
Astrid Lindgren,Broliai Liūtaširdžiai,,
Jeff Kinney,Nevykėlio dienoraštis 7. Trečias nereikalingas,2017,
Michael Bond,Pedingtonas darbuojasi,2024,9786090158630
,Built your own adventure,2017,
Holly Webb,Išgąsdinta katytė,2015,
Holly Webb,Mažiausia katytė,2022,9786090153437
,Ragana Lilė ? Kuri dalis,,
Holly Webb,Pradingėlė katytė Miglė,2014,
Holly Webb,Dingęs šunelis Maksas,2017,
Roald Dahl,Čarlis ir šokolado fabrikas,2021,
Tomas Dirgėla,Domas ir Tomas. Pasaulio pabaigos byla. 9 knyga,2022,
Agnieszka Stelmaszyk,Lobių ieškotojai. Nefertitės lobio paslaptis,2017,
,XX amžiaus skaitiniai,,
,Kaip parduoti dramblį,,
Albert Camus,Svetimas,2021,
J.V.Getė ,Faustas,1968,
,Noriu šuniuko,,
"David Roberts, Alan Mac Donald",Nevala Bertis. Sliekai!!!,2021,
Heinrich Maria Denneborg,Janas ir laukinis arkliukas,,9789986399438
Džeromas Stiltonas,Smaragdo akies paslaptis,2013,
Džeromas Stiltonas,Smaragdo akies paslaptis,2013,
,Gražiausios kalėdinės pasakos,,
Donald Bisset,Pamirštas gimtadienis,1998,9986835062
,Geros ir gražios istorijos,,
Ilona Ežerinytė,Skiriama Rivai,2024,7
Pamela Butchart,Mūsų mokyklos direktorius vampyras,2022,
Pamela Butchart,Šmėkla prie mokyklos perėjos,2021,
,Princesės knyga,2006,9789955220862
,Vaikų atlasas,1998,9985200748
Sven Nordqvist,Kalėdų senelio staigmena (Findusas),2011,
,Lapės ratukai ,,
,Pasakos iš stebuklų miško,,
Waldemar Bonsels,Bitė Maja ir jos nuotykiai,2015,
Justinas Marcinkevičius,Voro vestuvės,2023,
,Žiūroniuko nuotykiai,,
J.Avyžius,Aštuonetas iš Trepsės namų,1967,
Jeff Kinney,Nevykėlio dienoraštis 6. Žiemos spąstai,2012,
Jeff Kinney,Nevykėlio dienoraštis 18. Netikėtos permainos,2024,
Lois Duncan,Šunų viešbutis,2009,
Dick King-Smith,Mano mažasis monstriukas,2007,9789955700388
Jacqueline Wilson,Užsispyrusios mergaitės,2008,9789955380344
Ondžėjus Sekora,Skruzdėliuko Ferdos nuotykiai,2015,9786090120491
,Pažinkime Afrikos savanų gyvūnus,,
Scott O’Dell,Mėlynųjų delfinų sala,1998,9986431492
,,,
,Greito piešimo rink,,
,Mezgimo biblija,,
Martynas Vainilaitis,Margaspalvė uodega,2006,9955595914
Michailas Lermontovas,Mūsų laikų herojus,1975,
Kazys Boruta,Baltaragio malūnas,1971,
J.D.Salinger,Rugiuose prie bedugnės,2020,
Hermanas Melvilis,Mobis Dikas,1998,
Adomas Mickevičius,Poezija,1988,5415001565
"David Roberts, Alan Mac Donald",Nevala Bertis. Purvas!,2020,
Pamela Butchart,Mokyklos byla. Virėjos demonės puola,2019,9786094731235
,,,
Tomas Dirgėla,Domas ir Tomas. Dingusios sniego byla. 10 knyga,2022,
Janet Brown,Meduoliukas,1999,
Salomėja Nėris,Poezija I,1966,
Miguel de Cervantes,Don Kichotas,2015,
Holly Webb,Išgelbėtas šuniukas,2014,
,Build your own adventure,,
Erika Žiukienė,Kiškis ir vilkas,,9789955691402
Eugenija Marks,Liepa ir Rokis nepasiduoda,2023,
,Močiutė plėšikė,,
Antonia Michaelis,Kalėdų laukimas Amerlyje,2013,
Živilė Miežytė,Vilniaus Vilnius,2018,9786098161274
Barbara Catchpole,Pigas ir netikėtos bėdos,2012,
Jeff Kinney,Nevykėlio dienoraštis 5. Nemaloni tiesa,2018,
Astrida Lindgren,"Mažylis ir Karlsonas, kuris gyvena ant stogo",,9986920582
Pamela Butchart,"Šnipė, kuriai patiko mokyklos pietūs",2019,
"Peter Martin, Peter Kent",Biblijos pėdsakais,2016,
,Dienoraštis iš bunkerio,,
Meivin Burgess,Mėjos angelas,2019,
Džekas Londonas,Jūrų vilkas,1991,
Antanas Škėma,Balta drobulė,2017,
Viljamas Šekspyras,Romeo ir Džiuljeta,2018,
Saulius Šaltenis,Riešutų duona,2020,9786094662706
,Geriausi draugai,,
Holly Webb,Vienišoji Baltukė,2016,9786090115268
,Skaitiniai pradinukams,,
,Čiulbantis medis,,
Holly Webb,Namų pasiilgęs Semas,2022,
"Peter Martin, Peter Kent",Biblijos pėdsakais,2016,9786099529288
Knister,Ragana Lilė ir užburtas kardas 10,2008,
Jeff Kinney,Nevykėlio dienoraštis 17. Šlovės kaina,2023,
Jeff Kinney,Nevykėlio dienoraštis 5. Nemaloni tiesa,,
"Vilma Dailidėnienė, Daiva Jakavonytė-Staškuvienė, Nomeda Kasperavičienė",Pasitikrinamieji darbai. Lietuvių kalba 4 kl.,2019,
,Eglė žalčių karalienė,1995,
,Atbėga elnias devynragis,,
,Didžioji kūlverstuko knyga,,
Holly Webb,Mažoji kalytė Brita,2013,9786090110928
"Astrid Lindgren, Ilon Wikland",Lota moka važiuoti dviračiu,2012,
Knister,Ragana Lilė ir drakono knyga 0,2009,
E.T.A.Hoffmann,Spragtukas ir pelių karalius,2021,9786094844119
Knister,Ragana Lilė ir futbolas 17,2009,
Erikas Marija Remarkas,Vakarų fronte nieko naujo,1960,
,Romanas apie Tristaną ir Izoldą,,
,Persevalis,,
Migelis Servantesas De Savedra,Išmoningasis Hidalgas Don Kichotas iš Lamančos,2005,
Holly Webb,Pasišiaušęs šuniukas,2014,
Knister,Ragana Lilė beria burtus,2004,
Antanas Pivoras,Vėjūnė,2004,
Knister,Ragana Lilė 13,,
Olegas Lapinas,Pasimatymai su šešėliu,,
,"Liaukitės vaikus auklėti, padėkite jiems augti",,
,Toksiški tėvai,,
,Meditacija antroposofinėje medicinoje,,
Vytautė Žilinskaitė,Kelionė į Tandadriką,2003,
John Flanagan,Žvalgo mokinys. Karališkasis žvalgas,2022,
Antoine de Saint-Exupery,Mažasis princas,2015,9789955089629
Antoine de Saint-Exupery,Mažasis princas,2021,
,Mano jausmai,,
Antuanas de Sent Egziuperi,Mažasis princas,2019,
Pamela Butchart,Mokyklos rūsyje slepiasi žvėris!,2023,
Ruta Sepetys,Tarp pilkų debesų (grafinis romanas),2021,
,Mano pasakų apie princeses knyga,2013,
Astrid Lindgren,Lota iš Pramuštgalvių gatvės,,9955428791
John Green,Dėl mūsų likimo ir žvaigždės kaltos,2022,
,Kur nakvoja vėjai,,
,Pabėgimas (komiksai),,
"Rosita Makauskienė, Inga Dagilė",Svajonių kalnas,2014,
,Jei nereikėtų skubėti,,
,Neskubėkim ir atsp.,,
Violeta Palčinskaitė,Namai namučiai,1977,
,Gegutės šaltinis,,
,Ėriukas po baobabu,,
,Nykštukų šalyje,,
Justinas Marcinkevičius,Grybų karas,2023,
Jeff Kinney,Nevykėlio dienoraštis 1,2008,
Tomas Dirgėla,Domas ir Tomas. Išklerusio autobuso detektyvas. 2 knyga,2022,
Johanna Spyri,Heida,2021,
Rachel Renee Russell,Prietrankos dienoraštis,2023,
Reda Gedutienė,Disleksija,2018,9786094810015
Rumi,Meilės ir išminties knyga,2022,
,Mokytojas,,
J.K.Rowling,Haris Poteris ir išminties akmuo,2023,
Edgar Valter,Puokiai,2021,
Holly Webb,Įstrigusi šunytė,2024,
Holly Webb,Išgąsdinta Rudutė,2012,9786090151464
Jenny Dale,Du neklaužados,2004,
J.K.Rowling,Haris Poteris ir paslapčių kambarys,2001,
Henrikas Radauskas,Lyrika,1980,
Emilija Brontė,Vėtrų kalnas,1994,
Balys Sruoga,Dievų miškas,1971,
,Kačiuko niekam…?,,
Balys Sruoga,Dievų miškas,,
,Sparnai,,
Sven Nordqvist,Lapių medžioklė,2011,9786094410093
Sven Nordqvist,Lapių medžioklė,2024,9786094410093
Disney,Nykštukų pasakos,1996,9986220629
,Didžioji kūlverstuko knyga,2013,9786094035067
Astrid Lindgren,Pepė ilgakojinė,2007,
Jo Simmons,Mano tėvai atšaukė mano gimtadienį,2021,
Viktorija Butautis,Kanarų paslaptis,2023,
Roald Dahl,Čarlis ir šokolado fabrikas,2021,
Kelly Barnhill,"Mergaitė, atsigėrusi mėnulio",2019,
Rūta Šepetys,Tarp pilkų debesų,2022,
,Senovės Graikijos legendos ir mitai,,
,Psichologijos pagrindai IX-X kl.,,
,Asmenybės ir bendravimo psichologija XI-XII kl.,,
Meyers,Psichologija,,
A.A.Milne,Pūkuotuko pasaulis,2018,9789955883555
,Popieriaus lankstiniai,,
Janet Brown,Trys ožiukai,1999,
Liuda Petkevičiūtė,Geltona ,2019,
Kazys Boruta,Baltaragio malūnas,1962,
,Saulės vaduotojas,,
,,,
"Aslaug Jonsdottir, Kalle Guettler, Rakel Helmsdal",Mažasis pabaisiukas sako NE!,2004,
,,,
Rytis Zemkauskas,Kauno žvėries pasakų knyga,2022,9786099610931
,Rinktinės pasakos vaikams,2000,9788840980775
Robyn Briant,Narsus siuvėjas,2007,
Tomas Dirgėla,Domas ir Tomas. Dingusios šluotos byla. 1 knyga,2016,
Louise Rennison,Meilė yra tipo žiauri,,
Astrid Lindgren,Didysis seklys Bliumkvistas,1996,
,Detektyvų klubas Moksliniai,,
,Detektyvų klubas. Istoriniai,,
,Dėlionių knyga,,
Karen Vanhercke,Ežeras pilnas žaigždžių,2021,
Ieva Simonaitytė,Aukštujų Šimonių likimas,,
,Baltų religija šiandien,,
,Baltoji varnelė,,
Johanna Spyri,Heida,2021,
Pamela Butchart,"Šnipė, kuriai patiko mokyklos pietūs",2019,
Irena Kanišauskaitė,Antikos teatras. Sofoklio Antigonė,2000,
,,,
Akvilina Cicėnaitė,Niujorko respublika,2023,9786090154144
,,,
,Lietuvių k. mokymosi knyga užsieniečiams,,
Tosca Menten,Mumija Dumis ir Sebek-ra kaukė,2019,
Fernando Martinez,Legendos apie gnomus,2004,
,Alavinis kareivėlis,,
"Timo Parvela, Bjorn Sortland",Kepler 62. Kvietimas,2018,
,Harry Potter (anglų k.),,
Kristina Gudonytė,Ida iš šešėlių sodo,2021,
