Autorius,Pavadinimas,Metai,Kodas
Lietuvių liaudies pasakos,Trumpos lietuvių pasakos apie linksmuosius velniukus,2000,
Pranas Mašiotas ,Vaikučių pasakėlės ,1997,
Edita Klat,Linksmos pasakėlės,1974,
Lietuvių liaudies pasakos,Senelio Anupro pasakos,1999,
Lietuvių liaudies pasakos,Eglė žalčių karalienė,1997,
"Jolanta Martinionienė, Laima Lapinskaitė, Pranė Stankevičienė",,2012,
Giunteris Zalmanas,Žaidimų skrynelė,1988,
,Universalaus dizaino mokymuisi taikymas,,
Maironis,Rinktiniai raštai. Antras tomas,1956,
Maironis,Lyrika,1988,
Kazys Jakubėnas,Ūžia melsvas šilas,1957,
Vincas Kudirka,Ne tas yra didis,1988,
Vincas Kudirka,Laisvos valandos,1976,
Vincas Kudirka,Laisvos valandos,1976,
Faustas Kirša,Pelenai,1969,
Rimvydas Stankevičius,Pūgos durys,2014,
Rimvydas Stankevičius,Pūgos durys,2014,
Henris Vordsvortas Longfelou,Hiavatos giesmė,1981,
Ramutė Skučaitė,Dar šneka vanduo,1981,
Kęstutis Genys,Neišduokim Lietuvos,1994,
Kazys Bradūnas,Lietuviškoji trilogija,1994,
Kazys Bradūnas,Įaugom Nemuno upyne,1990,
Kazys Bradūnas,Įaugom Nemuno upyne,1990,
Kazys Bradūnas,Apie Žemę ir dangų,1997,
Bernardas Brazdžionis,Poezijos pilnatis,1989,
Bernardas Brazdžionis,Poezijos pilnatis,1989,
Bernardas Brazdžionis,Poezijos pilnatis,1989,
Janina Degutytė,Rinktiniai raštai II,1988,
Janina Degutytė,Rinktiniai raštai I,1988,
Janina Degutytė,Šviečia sniegas,1970,
Janina Degutytė,Pilnatis,1967,
Janina Degutytė,Poezija,1988,5415001565
Janina Degutytė,Tarp Saulės ir netekties,1980,
Janina Degutytė,Priebalandų sodai,1974,
Liudas Gira,Poezija,1984,5415001565
Vincas Giedra,Rinktinė,1988,
Liudas Gira,Nemargi sakalėliai,1963,
Jonas Jakštas,Amžina pradžia,1982,
Jonas Jakštas,Neužmirškit atsigrįžti,1981,
Faustas Kirša,Pelenai,1995,
Vytautas Mačernis,Sielos paveikslas,1993,
Vytautas Mačernis,Vėl žemės ilgesy,2016,
Justinas Marcinkevičius,Būk ir palaimink,1980,
Justinas Marcinkevičius,Eilėraščiai iš dienoraščio,1994,9986408091
Justinas Marcinkevičius,Vienintelė žemė,1984,
Justinas Marcinkevičius,Tekančio upės vienybė,1994,
Justinas Marcinkevičius,Poemos ,1977,
Justinas Marcinkevičius,Mažvydas,1977,
Justinas Marcinkevičius,Gyvenimo švelnus prisilietimas,1978,
Justinas Marcinkevičius,Raštai II,1982,
Justinas Marcinkevičius,Raštai III,1982,
Justinas Marcinkevičius,Raštai IV,1983,
Justinas Marcinkevičius,Raštai V,1983,
Justinas Marcinkevičius,Raštai V,1983,
Maironis,Raštai II,1988,
Maironis,Raštai III,1988,
Justinas Marcinkevičius,Dienoraštis be datų,1981,
Justinas Marcinkevičius,Dienoraštis be datų,1981,
Justinas Marcinkevičius,Mažvydas,1977,
Justinas Marcinkevičius,"Pušis, kuri juokėsi",1971,
Justinas Marcinkevičius,Dvidešimtas pavasaris,1956,
Justinas Marcinkevičius,Dvidešimtas pavasaris,1970,
Justinas Marcinkevičius,Užgyvus ir mirusius,1988,
Justinas Marcinkevičius,Pažinimo medis,1979,
Justinas Marcinkevičius,Tokia yra meilė,1983,
Justinas Marcinkevičius,Tokia yra meilė,1983,
Justinas Marcinkevičius,Lopšinė gimtinei ir motinai,1992,
Marcelijus Martinaitis,tie patys žodžiai,1980,
Marcelijus Martinaitis,"Akių tamsoj, širdies šviesoj",1974,
Marcelijus Martinaitis,Kukučio baladės,1986,
Marcelijus Martinaitis,Vainikas,1981,
Marcelijus Martinaitis,Vainikas,1981,
Marcelijus Martinaitis,Gailile raso,1990,
Antanas Miškinis,Iš drobių rašto,1975,
Antanas Miškinis,Rinktiniai raštai [1],1991,
Czeslaw Milosz,Tai,2002,
Adomas Mickevičius,Poezija,1998,5415001565
Violeta Palčinskaitė,Kreidos bokštai,1969,
Vincas Mykolaitis Putinas,Langas,1966,
Vincas Mykolaitis Putinas,Raštai 2 tomas. Poezija,1990,
Vincas Mykolaitis Putinas,Raštai 1 tomas. Poezija,1989,
Vincas Mykolaitis Putinas,Poezija II,1978,
Vincas Mykolaitis Putinas,Poezija I,1978,
Salomėja Nėris,Prie didelio kelio,1994,
Salomėja Nėris,Per amžius degti,2014,
Jonas Strielkūnas,Varpo kėlimas,1978,
Antanas Strazdas,Giesmė apie siratas,1974,
Antanas Strazdas,Raštai,1967,
Ramutė Skučaitė,Pusiausvyra,1972,
Salomėja Nėris,Poezija II,1966,
Salomėja Nėris,"Negesk, žiburėli",1983,
Salomėja Nėris,Eglė žalčių karalienė,1946,
Juozas Erlickas,Bobutė iš Paryžiaus,1995,
Leonas Milčius,Rudens žydėjime,2015,9789955488927
Paulius Širvys,Beržai baltieji broliai,1989,
Paulius Širvys,Beržai baltieji broliai,1989,
,Poezijos pavasaris 2002,2002,
Jorė Gritėnaitė,Sugis,2019,
Vilija Šulcaitė,Norėčiau būti žuvėdra,1979,
Juozas Vytautas Juocevičius,Medžiai tarp savęs Prašneko,2008,
Algimantas Baltakis,Rinktiniai raštai II,1983,
Balys Sruoga,"Raštai, I tomas",1957,
,Poezijos pavasaris 1973,1973,
,Religijotyros žodynas,1991,
Julius Sasnauskas,Kaip buvo pradžioje [biblinės neditacijos],2016,
Julius Sasnauskas,Dar kartą – žmogaus sūnus [sakymai ir postilės],2007,
,Legendos ir pasakojimai apie kūdikėlį Jėzų,1993,
Felix  Timmermans,Šventojo Pranciškaus arfa,2017,
Angela M.Burrin,Džiugioji Velykų žinia,2012,
Nikolajus Gogolis ,Mirusios sielos,1980,
L.Tolstojus,Vaikystė. Paauglio metai. Jaunystė,1960,
F.Dostojevskis,Pažemintieji ir nuskriaustieji,1957,
Nikolajus Leskovas,Užburtas klajūnas,1975,
Ivanas Turgenevas,Pirmoji meilė,1983,
Aleksandras Puškinas,Poemos,1978,
Aleksandras Puškinas,Pikų dama,1974,
Ivan Turgenev,Senilia,2018,
F.Dostojevskis,Pažemintieji ir nuskriaustieji,1979,
I.Turgenevas,Naujasis baras,1974,
Michailas Lermontovas,Mūsų laikų herojus,1963,
Alessandro Baricco,Jūra vandenynas,2004,
Daphne Du Maurier,Įtemptas laukimas,2006,
Dan Brown,Da Vinčio  kodas,2004,
B.Brechtas,Motušė Kuraž,1964,
T.Dreizeris,Amerikietiškoji tragedija 2,1964,
Aleksandras Diuma,Grafas Montekristas III,1985,
Aleksandras Diuma,Grafas Montekristas II,1985,
Aleksandras Diuma,Grafas Montekristas I,1985,
Aleksandras Diuma,Juodoji tulpė,,
Aleksandras Diuma,Juodoji tulpė,,
Aleksandras Diuma,Ševalje D’Armantalis,1994,
A.Diuma,Trys muškietininkai,1992,
A.Diuma,Po dvidešimties metų,1994,
Kaari Utrio,Varinis paukštis,2011,
Dantė,Skaistykla,1970,
Dantė,Rojus,1971,
Dantė Alighieri,Dieviškoji komedija. Pragaras.,,
Štefanas Cveigas,Erazmo Roterdamiečio triumfas ir tragedija,1991,
Paulo Coelho ,Zahiras,2006,
Paulo Coelho ,Portobelo ragana,2007,
Paulo Coelho ,Prie Piedros upės – ten aš sėdėjau verkdama,2005,
Umberto Eco,Nr. 0,2015,
Umberto Eco,Fuko švytuoklė,2004,
Umberto Eco,Fuko švytuoklė,1995,
Umberto Eco,Rožės vardas,1991,
Umberto Eco,Rožės vardas,1991,
Marita Fossum,Nužudyti drakoną,2006,
L.Foichtvangeris,Apsišaukėlis Neronas,1984,
Maxence Fermine,Sniegas,2003,
Maxence Fermine,Sniegas,2003,
Laura Esquivel,Kaip vanduo šokoladui,2003,
A. de Sent – Egziuperi,Žemė žmonių planeta,1962,
John Fowles,Prancūzų leitenanto moteris,1997,
Svava Jakobsdottir,Gunlodos Saga,1998,
Kahlil Gibran,Pranašas,2003,
Jonathan Harr,Dingęs paveikslas,2007,
Petra Schier,Kalėdų angelas su keturiomis letenomis,2010,
J. V. Getė,Jaunojo Verterio kančios,1963,
J. V. Getė,Jaunojo Verterio kančios,1963,
Johann Peter Eckermann,Pokalbiai su Goethe,1999,
Johann Wolfgang Goethe,Iš mano gybenimo poezija ir tiesa,2013,
Johanas Volfgangas Getė,Poezija,1986,5415001565
Viljamas Folkneris,Sartoriai,1983,
J.Ivaškevičius,Raudoni skydai,1984,
H.Hermanas,Bizantijos gaisras,1985,
Johann Wolfgang Goethe,Pasakos,2009,9786098222203
Peter Handke,Tamsią naktį išėjau iš tylių namų,2000,
Knutas Hamsunas,Badas. Panas. Viktorija,1972,
Knutas Hamsunas,Viktorija,1994,
Ernestas Hemingvėjus,"Anapus upės, medžių ūksmėje",1971,
Ch.Hermanas,Neskambino iš Sing Singo,1978,
Ernest Hemingway,Kam skambina varpai,2002,
Viktoras Hugo,Vargdieniai 4,1972,
Viktoras Hugo,Vargdieniai 3,1972,
Viktoras Hugo,Vargdieniai 2,1972,
Viktoras Hugo,Vargdieniai 1,1972,
Hermann Hesse,Gertrūda,1998,
Hermanas Hesė,Sidharta,1990,
Hermanas Hesė,Sidharta,1990,
Hermann Hesse,Mažame mieste,2002,
Hermann Hesse,Pėteris Kamencindas,1998,
Hermann Hesse,Narcizas ir Auksaburnis ,2010,
John Irving,Našlė vieneriems metams,2002,
John Irving,Naujojo Hampšyro viešbutis,2009,
John Irving,Paskutinė naktis Tvisted Riveryje,2011,
John Irving,Malda už Oveną Minį,2005,
John Irving,Kol tave rasiu,2008,
John Irving,Našlė vieneriems metams,2010,
John Irving,Sidro namų taisyklės,2005,
John Irving,Vandens metodas,2009,
Džekas Keruakas,Kelyje,1972,
Milan Kundera,Tapatumas,2003,
Milan Kundera,Nemirtingumas,2003,
Nikas Kazandzakis,Graikas Zorba,1978,
Tove Jansson,Vasaros knyga,2012,
Albert Camus,Rinktiniai Esė,1993,
Agata Kristi,Trečioji mergina,2000,
Česlovas Milošas,Isos slėnis,1991,
Pater Mayle,Metai Provanse,2015,
Laurent Gounelle,Dievas visada keliauja inkognito,2020,
Dan Jones,Tamplieriai,2019,
,Atodangos,1988,
Dalia Jazukevičiūtė,Dviejų mėnulių baras,2008,
Audronė Ilgevičienė,Sakmė apie aisčius,,
Alessandro Baricco,Be kraujo,2004,
Markas Aurelijus,Sau pačiam,2010,
E.Urbonas,Medekša,,
Anchelis Marija de Lera,Žemė gyventi – žemė mirti,1974,
Peras Lagerkvistas,Nykštukas,1970,
Henrikas Pontopidanas,"Peras, laimės kūdikis",1992,
Juozas Daumantas,Partizanai,2015,
Joyce Carol,Žaltvykslė,1996,
Haruki Murakami,1Q84 pirma knyga,2011,
Haruki Murakami,Mylimoji Sputnik,2008,
Haruki Murakami,Avies medžioklė,2003,
Haruki Murakami,Dansu Dansu Dansu,2004,
Haruki Murakami,1Q84 antra knyga,2011,
Haruki Murakami,Kafka pakrantėje,2006,
Guy de Maupassant,Mont Oriolis. Stipri kaip mirtis,1995,
Gi de Mopasanas,Mont oriolis,1987,
F.Bulveris – Litonas,Paskutinės Pompėjos dienos,1984,
Torgny Lindgren,Gyvatės pėdsakas ant uolos,1994,
Ami McKay,Gimdymo namai,2008,
David Ignatius,Melo pinklės,2008,
Selma Lagerlef,Liljekrūnos namai,1993,
Henning Mankell,Prieš šalną,2009,
Ian McEwan,Česilo pakrantėje,2009,
V.Inytė,Vienišas karalius: apybraižos apie Maiklą Džeksoną,1994,
Stephen King,Mizerė,1997,
Sophie McKenzie,Kraujo ryšiai,2009,
Erikas Marija Remarkas,Naktis Lisabonoje,1979,
Erikas Marija Remarkas,Šešėliai rojuje,1983,
Erikas Marija Remarkas,Juodasis obeliskas,1986,
Luidžis Pirandelas,Velionis Matija Paskalis,1988,
Andrė Morua,Esė,1991,
Tomas Moras,Utopija,1968,
Gabrielis Garsija Markesas,Patriancho ruduo,1980,
Gabrielis Garsija Markesas,Patriancho ruduo,1980,
Gabrielis Garsija Markesas,Šimtas metų vienatvės,1991,
Akselis Miuntė,Knyga apie San Mikelę,1991,
Žorž Sand,Mažoji Fadetė,1990,
Stepanas Sarygolas,Šviesiaplaukis berniukas,1985,
Ihara Saikakus,Penkios mylinčios moterys,1983,
Fransuaza Sagan,Sveika liūdesy. Truputis saulės šaltam vandeny,1991,
Fransuaza Sagan,Sveika liūdesy. Truputis saulės šaltam vandeny,1991,
Erich Maria Remarque,Mylėk savo artimą,1993,
Luidžis Pirandelas,Velionis Matija Paskalis,1988,
Džeromas Selindžeris,Apsakymai ir apysakos,1990,
Mario Puzo,Sicilietis,1993,
Vladimiras Nabokovas,Lolita,1990,
Tobajas Džordžas Smoletas,Hamfrio Klinkerio kelionė,1973,
August Strindberg,Pragaras. Juodosios vėliavos,1998,
Augustas Strindbergas,Raudonasis jambarys. Hemsio salos žmonės,1989,
Volteras,Zadigas arba likimas,1981,
Šekspyras,Koriolanas,1973,
Šekspyras,Raštai V,1964,
Rabidranatas Tagorė,Gyvenimo žabangos. Keruri gyvenimai,1982,
Augustas Strindbergas,Pamišėlio išpažintis. Vienišas,1982,
Stendhal,Raudona ir juoda,1949,
Sofoklis,Tragedijos,,
Stendalis,Raudona ir juoda,1976,
R.Tagorė,Krislelis,1961,
Rabidranatas Tagorė,Aukso miražas,1963,
Peras Olofas Sundmanas,Dvi dienos. Dvi naktys. Sakmė apie Somą,1984,
Virginia Woolf,Ponia Delovėj,1994,
William Wharton,Paukštukas,2004,
Žanas Žuberas,Žmogus smėlynuose,1983,
Leonardas da Vinčis,Pasakos. Legendos. Alegorijos,1986,
Oscar Wilde,De profundis,2007,
Boris Vian,Dievų puta,2006,
Tomas Vulfas,"Žvelk, angele, į savo būstą",1974,
Oskaras Vaildas,Amžiaus portretas,1998,
Morisas Meterlinkas,Žydroji paukštė,1978,
Antanas Gudelis,Kur iškeliavo milžinai,1986,
Henrikas Ibsenas,Dramos,1978,
Arvydas Juozaitis,Alsavimas,1996,
Aldona Liobytė,Kupriukas muzikantas,1984,
Walter Wangerin,Dievo knyga,1998,
Ulla Lachauer,Rojaus kelias,2019,
Marija Garbačiauskienė,Jei laimė nebūtų lydėjusi,1989,
Marija Garbačiauskienė,Jei laimė nebūtų lydėjusi,1989,
Aldona Žemaitytė,Amžino įšalo žemėje,1989,
"A,C, Bhaktivedanta Swami Prabhupada",Savęs pažinimo mokslas,1992,
Mojdeh Bayat Mohammad Ali Jamnia,Sufijų šalies pasakojimai,2003,
Nigel Watts,Meilės kelias,2003,
Helle Amin,Susitikę dykumoje,2010,
Henry David Thoreau,Voldenas arba gyvenimas miške,2015,
Rasa Praninskienė,Laisvalaikio skrynelė,1998,
Paulo Coelho ,Zahiras,2006,
Robert Schneider,Oreigė,1999,
Michael Cunningham,Tos valandos,2000,
Gediminas Vitkus,Europos mozaika,2010,
Saulius Kargaudas,Rainio išdaigos,2013,
Valerija Valsiūnienė,Papuošiu Žemę,1987,
,Nuo Renesanso iki Švietimo epochos,2003,
,Klausimynas smalsiems ir žingeidiems,2012,
V.Kūnas Vl.Vaitiekūnas,Menas ir amžinoji kaita,1997,
Marvin Harris,Kultūrinė antropologija,1998,
,Tarptautinių žodžių žodynas,1969,
,Tarptautinių žodžių žodynas,1985,
Valerija Vaitkevičiūtė,Tarptautinių žodžių žodynas,2004,
Aldona Bendorienė ir kt.,Tarptautinių žodžių žodynas,2008,
,Dabartinės lietuvių kalbos žodynas,2021,
A.Lyberis,Sinonimų žodynas,1980,
"Milda Norkaitienė, Rita Šepetytė, Zita Šimėnaitė",Mokomasis lietuvių kalbos žodynas,2010,
"Milda Norkaitienė, Rita Šepetytė, Zita Šimėnaitė",Mokomasis lietuvių kalbos žodynas,2010,
V.Vitkauskas,Šiaurės rytų Dūnininkų šnektų žodynas,1976,
Antanas Pakerys,Tarptautinių žodžių kirčiavimas,1991,
Irena Ermanytė,Mokyklinis lietuvių kalbos antonimų žodynas,2002,
Jonas Paulauskas,Lietuvių kalbos frazeologijos žodynas,2003,
,Didžioji žaidimų knyga,,
Angelina Zalatorienė,Apie tave ir tavo žvaigždę,2019,
"E.Tiomkinas, V.Ermanas",Senovės Indijos mitai,1989,
,Lietuvos fotografija,1978,
,Ieškok ir surask Biblijoje,2010,
Rebeka Una,Paskutiniai vaikai,2024,
Harry Schonfelder,Mussen kinder schwievig sein?,1990,
"Michael Baigent, Richard Leigh, Henry Lincoln",Šventasis kraujas ir šventasis Gralis,2007,
Schoschana Rabinovici,Dank meiner Mutter,1994,
,,,
August Strindberg,Pamišėlio išpažintis,2008,
Julius Kaupas,Daktaras Krapštukas pragare,2006,
Christopher Paolini,Eragonas,2005,
"Linas Slušnys, Daiva Šukytė",Ką gali mokytojas,2016,
Daisy Goodwin,Diva,2023,
,Die Antikensannkung Berlin,1992,
Servantesas,Don Kichotas (ištraukos) Mokinio biblioteka,1958,
Gianni Rodari,Dželsominas melagių šalyje,2022,
Giulia Enders,Žarnyno žavumynai,2023,
Sandra Bernotaitė,Laisvojo rašymo elementai,2020,
A.Šapoka,Lietuvos istorija,1990,
"Romas Darafėjus, Ana Gliebė, Margarita Purlienė",Biologijos užduotys 7 klasei,2016,
Birutė Jogėlienė,Žmogaus bioetikos klausimai,1998,
"Mauro Raffaelli, Josė Maria Thomas-Domenech",Iliustruotas žinynas. Botanika,2000,
"E.Purvinas, V.Skirgailaitė",Botanika,1975,
"J.Polianskis, A.Brauns, N.Verzilinas ir kt.",Bendroji biologija 11-12 kl.,1988,
Andzej Szczeklik,Kora,2007,
Robert Gardner,Human body,2008,
K.Brundza,Mikrobiologija,1969,
Polis de Kriufas,Mikrobų medžiotojai,1980,
S.Ivčenka,Įdomioji botanika,1975,
A.Maurinis,Įdomioji dendrologija,1978,
"T.Ivanauskas, E.Kanopka, M.Venclauskas",Biologija,1970,
Linda Allison,Blood and Guts,,
,Mokomės gamtoje ir iš gamtos,2013,
,Demanovska Dolina,,
,Senovės pasaulio stebuklai,2001,
,CD Įdomioji Lietuvos istorija,2004,
Stanislovas Bartulis,Naujausių amžių Lietuvos istorija,2007,
Juozas Brazauskas,Lietuvos istorija IX klasei,1990,
,Lietuvos albumas,1990,
"Henrikas Latvis, Hermanas Vartbergė",Livonijos kronikos,1991,
Džonas D. Kleras,Viduramžių miestai,,
Mike Corbishley,Viduriniai amžiai,1998,
Algimantas Bučys,Lietuvių karaliai ir Lietuvos karalystė de facto ir de jure Viduramžių Europoje,2019,
"Paulius Beresnevičius, Giedrė Rugevičiūtė",Pažinkime Tėvynės istoriją,1998,
Nijolė Gaškaitė,Pasipriešinimo istorija,2006,
"Margarita Purlienė, Inga Viltrakienė",100 profesionalo patarimų prieš biologijos egzaminą,2020,
Kristina Ponelienė,Mokyklinis istorijos žinynas,1999,
Mečislovas Jučas,Žalgirio mūšis,1990,
Arūnas Gumuliauskas,Lietuva nuo valstybės susikūrimo iki valstybės atkūrimo.,1993,
"Alfonsas Eidintas , Gediminas Rudis",Naujas požiūris į Lietuvos istoriją,1989,
Manfred Mai,Pasaulio istorija,2006,
Alma Karosairtė,Zuikiui puikiui šešeri,1996,
Jurgen Banscherrus,Seklys Kviatkovskis. Sąmokslas dėl kramtomosios gumos,2007,
,Visata. Žvaigždės. Planetos. Kosmosas,2014,
"A.Knystautas, A.Liutkus",Sparnuočių pasaulyje,1982,
"Daniel Albert-Koraguine, Philippe de la Cotardiere",Pažink pasaulį. Mokinio enciklopedija,1999,
Antony Polonsky,"Žydai Lietuvoje, Lenkijoje ir Rusijoje",2015,
Vladislavas Darkevičius,Vidurinių amžių argonautai,1989,
Frydrichas Šletė,Keltai tarp alezijos ir Pergamo,1984,
Roma Greičiūtė ir kt.,"Mokinio žinynas (Matematika, Fizika, Astronomija, Chemija)",2018,
,Oksfordo jaunimo enciklopedija,1999,
David G.Myers,Psichologija,2000,
Ala Baubinienė ir kt.,Medicinos enciklopedija M-Ž,1994,
Ala Baubinienė ir kt.,Medicinos enciklopedija A-M,1991,
Juozas Kudirka,Velykų šventės,1992,
Kazimieras Baranauskas ir kt.,Mokomės gamtoje ir iš gamtos,2013,
,Gražiausios lietuvių pasakos,1996,
Vytautas Petkevičius,Didysis medžiotojas Mikas Pupkus,1980,
Vacys Bagdonavičius ir kt.,Elgesio kultūra,1980,
,11-12 kl. mokinių verslumo ugdymas taikant netradicines ugdymo formas,2013,
Miles Kelly,Gyvybės knyga,2007,
"Brigitte Beier, Beatrix Gehlhoff",XX amžiaus metraštis jaunimui,2000,
Vyginbtas Bogušas,Žaidžiame stalo tenisą,1989,
,Ekologičeskije očerki o priride į čeloveke,1988,
Albertas  Vijūkas-Kojelavičius,Lietuvos istorija,1989,
,Aukso paukštis,2006,
I.Krylovas,Pasakėčios,,
Anna Llimos plomer,"Darbeliai iš augalų ir sėklų, popieriausd masės, medienos ir kamščio atliekų.",2008,
,Barono Miunhauzeno nuotykiai,,
,Turėjo bobutė žilą oželį,2006,9789955130703
,Jaučio trobelė,1997,
Zita Gaižauskaitė,Miško ABC,2012,9786094000409
,Ežys ir poinia,2006,
,Eglė žalčių karalienė,1995,
,Lapė karalienė,1999,
,Negirdėta neregėta pasaka,1997,
Dhirašanta dasa Gosvamis,Įkvepiančios istorijos,2019,
Dr.Rainer Kothe,Kas yra kas. Mūsų Žemė,2005,
,Gamtos pasaulis. Iliustruota enciklopedija,1996,
K.B.Vosylytė,Lietuvių kalbos palyginimų žodynas,1985,
Vanda Padimanskaitė,Taškuota pasaka,2012,
"Milda Telksnytė, Vygandas Račkaitis",Kamanė dūzgalė,2009,
Renata Šerelytė,Krakatukų pievelė,2013,
Gianni Rodari,Pasakos telefonu,2022,
Astrid Lindgren,Pasakos,,9786098222203
P.L.Travers,Merė Popins. Merė Popins grįžta,,
Jrr Tolkien,Žiedų valdovas. Dvi tvirtovės (2 dalis),2024,
Jrr Tolkien,Žiedų valdovas. Karaliaus sugrįžimas (3 dalis),2024,
Rosalind Ormiston,Leonardas Da Vinčis. Gyvenimas ir kūryba 500 iliustracijų,2021,
"Daiva Riukienė, Regina Rudalevičienė, Virginija Viniautienė, Valdas Vanagas",Matematika Tau+. 9 klasė. Uždavinynas,2019,
Vladas Vitkus,Dar daugiau uždavinių 9-10 klasėms,2014,
Bronislavas Burgis,Matematika (ne) lengvai,2020,
"Ramunė ranseikienė, Ona Stančiukienė",Matematikos pasitikrinamieji testai. Korepetitorius,2019,
,Iki pergalės,2022,
Vitalija Lapina,Ar pažįsti Kiukį,2013,
,Didžioji vaikų žaidimų ir darbelių knyga,2021,
"Kathe Recheis – Friedl Hofbauer, Anett Stolarski",Mėnulio fėjos šypsena,2008,
Geoffroy de Pennart,Muzikalioji karvė Sofija,2018,
Vytautas V.Landsbergis,Žuveliukas ir undinas,2012,
Nick Trenton,Nesuk sau galvos,2024,
Joseph  Campbell,Keliai į laimę. Kaip mitai padeda mums keistis,2024,
Aidas Jurašius,Žąsino Gagio kelionės,2021,
Barbara Soloff-Levy,Mokykimės piešti,2008,
,Pasaulio pasakos,2002,9955407506
,Gražiausios miško žvėrelių istorijos,1998,9986854388
Eduard Uspenskij,Dėdės Fiodoro teta,2013,9786094411229
Eduard Uspenskij,Mylima dėdės Fiodoro mergaitė,2014,9786094412103
Eduard Uspenskij,Dėdė Fiodoras eina į mokyklą,2016,9786094413308
Eduard Uspenskij,"Dėdė Fiodoras , šuo ir katinas",2012,9786094410765
,Lietuvių liaudies pasakos,2007,9789955230823
,Gražiausios brolių Grimų pasakos,,9986222974
Aleksandras Volkovas,Urfinas Džiusas ir jo mediniai kareiviai,2010,9789986342304
Aleksandras Volkovas,Septyni požemio karaliai,2010,9789986342434
Aleksandras Volkovas,Geltonas rūkas,2011,9789986342519
Aleksandras Volkovas,Maranų ugnies dievas,2010,9789986342403
Aleksandras Volkovas,Smaragdo miesto burtininkas,2010,9789986342298
Vytautas Račickas,Geriausias draugas,2009,9786094080074
Robertas Styvensonas,Lobių sala,1997,9986459230
Zigmas Vitkus,Lietuvos istorija,2008,9789955380474
Emilie Beaumont,Atsakymai į vaikų klausimus. Gamta,,9789955084372
Ronis Orenas,Plastilino paslaptys. Naminiai gyvūnėliai,2012,9786899541631
Tony Wolf,Istorija,2003,9955082461
,Pažinimo džiaugsmas. Žemė ir jos gėrybės,1994,5899500190
,Gražiausios Dreamworks pasakos. Saldžių sapnų,2016,9786090401453
,Skaityk. Sužinok. Žaisk. Gyvūnai,2016,9786090122266
Kęstutis Vaškelis,Turisto atlasas,1994,5417005010
,Pasaulio pasakėčios,2004,995508412x
Cally Hall,Kalnai,1998,
Joanna Krzyzanek,Mandagumo pamokėlės. Etiketas vaikams,2006,9955241969
Lewis Carroll,Alisa Stebuklų šalyje,2019,9786094840210
Jonas Biliūnas,Laimės žiburys,2021,9786094842757
,Pasakos mažyliams. Žvėrelių nuotykiai,2007,9789955072874
,Snieguolė,1997,
,Vilkas ir septyni ožiukai ir kitos pasakos,2003,9955061030
,Miegančioji gražuolė ir kitos pasakos,2006,9986004837
Imants Ziedonis,Spalvotosios pasakos,2006,995543578x
Karlis Skalbe,Pasakos,2007,9789955246558
Disney,Undinėlė,1995,
,Kiškio ilgaausio nuotykiai,,9986796229
Chretien de Troyes,"Persevalis, arba pasakojimas apie Gralį",2003,9955512431
Knister,Ragana Lilė tampa sekle 6,2005,9955088699
Vytautas Rašickas ,Zuika dar gyvas,2008,9955466138
Jacqueline Wilson,Įsimylėjusios mergaitės,2008,9789955380320
Matt Haig,"Mergaitė, kuri išgelbėjo Kalėdas",2017,9786094662744
Karen Mcombie,"Praeitis, dabartis ir nenuorama mergaitė",2008,9789955381945
Hermien Stellmacher,Varlė ar svajonių princas?,2009,9789955382218
Ieva Ibbotson,Kuri ragana pikčiausia?,2006,995524318X
J.Tumas Vaižgantas,Dėdės ir dėdienės,1978,
Astrid Lindgren,Pepė ilgakojinė,garnelis,9789955883616
Daiva Beliūnienė,Šiaudiniai sodai,2024,9786099618494
Diana Ganc,Lota,2020,9786098227178
Antoine de Saint-Exupery,Mažasis princas,2024,9786090159224
Onore de Balzakas,Trylikos istorija,1994,9886140013
Dalia Švažienė,"Lietuvių kalba ir literatūra. Serija ,,Pasirenkime VBE“, III gimnazijos klasė, Bendrasis ir išplėstinis kursas",2024,9785430074388
Vincas Krėvė,Skerdžius ir kiti geriausi apsakymai,2021,9785430074388
Tomas Dirgėla,Lukas ir Lėja. Istorija apie draugystę,2023,9786090155615
Radjardas Kiplingas,Džiunglės,1988,5790001033
,"Kalbėjimo, kalbos ir komunikacijos sutrikimai",2022,9786094546488
,Vienišoji Baltukė,,
"Ilona Tulabienė, Odeta Janušaitienė, Algirdas Ališauskas, Angelė Balčienė",Matematika. Pratybų sąsiuvinis 6 klasei 2 dalis,2024,9785430074012
"Ilona Tulabienė, Odeta Janušaitienė, Algirdas Ališauskas, Angelė Balčienė",Matematika. Pratybų sąsiuvinis 6 klasei 1 dalis,2024,9785430074005
"Neringa Jasiūnaitė, Aliona Barkauskienė, Andrius Berniukevičius, Dovydas Česnuitis",Matematika. Pratybų sąsiuvinis 7 klasei 1 dalis,2024,97854300744029
"Neringa Jasiūnaitė, Aliona Barkauskienė, Andrius Berniukevičius, Dovydas Česnuitis, Ilona Tulabienė",Matematika. Pratybų sąsiuvinis 7 klasei 2 dalis,2024,9785430074036
"Aušra Degutytė-Kančauskienė, Raimonda Bogužaitė, Regina Kaušienė",Chemija. Pratybų sąsiuvinis 8 klasei. 2 dalis,2025,9785430074425
Holly Webb,Paskolintas šuniukas,2023,9786090155257
Jeff Kinney,Nevykėlio dienoraštis 15. Netikėti vasaros nuotykiai,2021,9786094831331
